분류,기능명,기능 설명,Created by,Status,Priority,Related files,Created
"대시보드, 마이페이지",탄소절감 순위 확인 (선택),"전체 사용자 중 나의 순위(%, 위치)를 표시
- 연령대별/지역별 비교  
- 상위 몇 % 여부 표시  
- 전체 랭킹 중 사용자 위치

- 위 데이터에 대해 가장 알맞은 그래프 형태는 고민 중",김수연,New,Medium,,2025년 6월 17일 오후 2:39
공유,탄소절감 리포트 이미지 저장,"내 절감 성과를 카드형 이미지로 요약해 저장
- [탄소절감 확인(마이페이지)] 중 탄소절감량 데이터 section 하단의 button
- 리포트 & 대시보드 내용 그대로 공유
- 이미지 저장 버튼 제공",김수연,New,High,,2025년 6월 17일 오후 2:39
공유,SNS 공유 기능,"탄소절감 리포트 이미지를 SNS에 공유
- [탄소절감 확인(마이페이지)] 중 탄소절감량 데이터 section 하단의 button  
- 카카오톡, Instagram, 네이버 밴드, 트위터 공유 버튼  
- 공유 시 미리보기 문구 포함",김수연,New,High,,2025년 6월 17일 오후 2:41
공유,공유 히스토리 조회 (선택),"내가 공유했던 활동 내역을 간단히 확인
- 공유한 날짜 / 플랫폼 / 내용 요약",김수연,New,Low,,2025년 6월 17일 오후 2:42
여행코스 검색,생태관광 코스 목록 조회,"경북 생태관광 코스 목록을 조회
- 최상단 배너에는 광고 및 이벤트 또는 어드민 지정 장소를 띄워 홍보 효과 확보
- 생태관광 코스가 아래 데이터를 포함한 card button, 클릭 시 [생태관광 코스 상세 조회]로 이동
- 장소, 대표 이미지, 카테고리 뱃지, 조회수, 나의 북마크 여부",김채정,New,High,,2025년 6월 30일 오전 6:29
탄소배출량 계산,탄소배출량 계산,"사용자만의 커스텀 여행 정보로 여행 중의 탄소배출량을 계산(funnel 구조)
- 인원 수, 출발지, 도착지, 일자, 교통, 숙박, 관광 코스
- step 1: 인원 수
- step 2: 출발지-도착지, 교통(ex. 자동자, 기차, 자전거, 비행기, 버스, 도보)
  - 출발지, 도착지, 교통수단을 한 세트로 여러 개 추가 가능
- step 3: 기간, 숙박(ex. 민박, 호텔, 풀빌라 등)
  - 기간, 숙박을 한 세트로 여러 개 추가 가능
- step 4: 관광 코스
  - 해당 데이터는 [생태관광 코스 목록 조회]에서 쓰이는 데이터와 동일, UI도 동일
- 위 스텝마다 해당하는 일러스트가 상단에 위치
- 탄소배출량 계산 스텝은 비로그인 사용자도 경험 가능하지만 결과 조회 위해서는 로그인 필수
- 로그인 절차 거치고난 뒤 결과를 바로 조회할 수 있어야 함
- 결과의 경우 탄소배출량에 따라 탄소 발자국과 관련한 이미지가 사용자화되어 나와야 함",김채정,New,High,,2025년 6월 30일 오전 6:38
"대시보드, 마이페이지",뱃지 수집 현황,"탄소절감 리포트 페이지에서 [뱃지 수집 현황] 버튼 클릭 시, 사용자가 획득한 뱃지 리스트 페이지로 이동
- 뱃지 표시 형식은 추후 결정 (모달 땅땅!!)
- 클릭 시 팝업 형태로 상세정보 노출 고려

뱃지 수집 현황 페이지 구성

최상단에는 두가지 요소 배치;
- 좌측 상단에 뒤로가기 화살표 아이콘(←)
- 중앙에 '배지 수집 현황' 타이틀 텍스트

그 아래에는 각 뱃지를 그리드 형태로 나열
- 각 뱃지는 아이콘 이미지와 그 아래 이름 텍스트로 구성
- 3열 그리드 형식으로 정렬
- 미획득 뱃지는 회색 톤으로 비활성화, 획득 뱃지는 컬러로 강조 표시",김수연,New,Medium,,2025년 6월 30일 오후 4:04
"대시보드, 마이페이지",뱃지 상세 정보 (선택),"뱃지 리스트에서 뱃지를 클릭하면 다음 정보를 포함한 팝업(또는 상세페이지)을 띄운다: 
- 뱃지 이름  
- 뱃지 설명  
- 획득 조건  
- 획득일자

상세 뱃지 설명 모달 구성
- [뱃지 수집 현황페이지]에서 개별 뱃지 클릭시 모달 출력
- 뱃지 이름, 뱃지 설명, 획득 조건, 획득 일자가 각각 수직 정렬되어 출력",김수연,New,Low,,2025년 6월 30일 오후 4:15
"대시보드, 마이페이지",현재 뱃지 레벨 표시,"누적 탄소절감량 바로 아래에, 현재 레벨을 축하 문구와 함께 표시 예시: “🎉 축하합니다! Lv.3 🍇 영동포도 송이로 성장했어요!”

",김수연,New,High,,2025년 6월 30일 오후 4:17
"대시보드, 마이페이지",뱃지 레벨 자세히 보기,"현재 레벨 문구 아래 [뱃지 레벨 자세히 보기] 링크 추가 → 클릭 시 각 레벨과 의미, 절감량 기준을 표로 정리해 보여주는 별도 모달 or 하단 확장 or 기타 다른 방법
 (레벨/이름/절감량 기준)
    - Lv.1:🧄 의성마늘 씨앗/~10kg
    - Lv.2:🍗 안동찜닭 한 접시/~50kg
    - Lv.3:🍇 영동포도 송이/~100kg
    - Lv.4:🍊 청도감나무 한 그루/~300kg
    - Lv.5:🌾 경북 농산물 축제/~700kg+",김수연,New,High,,2025년 6월 30일 오후 4:17
여행코스 검색,생태관광 코스 상세 조회,"경북 내의 지역에서 체험할 수 있는 생태 관광 코스를 상세 조회
- 장소, 대표 이미지, 상세 이미지, 코스 이름, 관련 카테고리(ex. 트래킹, 식도락), 상세 설명
- 예시: 문경새재 도립공원: 다양한 생태계를 자랑하며, 등산, 트레킹, 걷기 등을 즐길 수 있습니다. ",김채정,New,High,,2025년 6월 30일 오후 8:24
"대시보드, 마이페이지",대표 뱃지 설정,"사용자가 획득한 뱃지 중 하나를 대표 뱃지로 설정할 수 있음
설정된 대표 뱃지는 커뮤니티 피드, 활동 기록 등의 프로필 영역에 노출됨
- 대표 뱃지 선택: 뱃지 리스트에서 ‘대표 설정’ 버튼 제공 (버튼 위치나, 설정 방식은 추후 논의…?)
- 선택 기준: 이미 획득한 뱃지 중에서만 설정 가능
- 대표 뱃지 시각화: 커뮤니티 피드 또는 유저 프로필에 대표 뱃지 아이콘 노출
- 변경 가능: 사용자는 언제든 대표 뱃지를 다른 뱃지로 교체 가능",김수연,New,Medium,,2025년 7월 2일 오후 3:21
